,사용월,호선명,지하철역,승객수
0,202306,1호선,동대문,691929
1,202306,1호선,동묘앞,606251
2,202306,1호선,서울역,3054194
3,202306,1호선,시청,1486497
4,202306,1호선,신설동,797907
5,202306,1호선,제기동,1021682
6,202306,1호선,종각,2152986
7,202306,1호선,종로3가,1505002
8,202306,1호선,종로5가,1449413
9,202306,1호선,청량리(서울시립대입구),1211280
10,202306,2호선,강남,4481101
11,202306,2호선,강변(동서울터미널),1823324
12,202306,2호선,건대입구,2248646
13,202306,2호선,교대(법원.검찰청),1906338
14,202306,2호선,구로디지털단지,3269803
15,202306,2호선,구의(광진구청),1367619
16,202306,2호선,낙성대(강감찬),1585060
17,202306,2호선,당산,1159496
18,202306,2호선,대림(구로구청),1451685
19,202306,2호선,도림천,72977
20,202306,2호선,동대문역사문화공원(DDP),913175
21,202306,2호선,뚝섬,1400780
22,202306,2호선,문래,1249858
23,202306,2호선,방배,1004366
24,202306,2호선,봉천,1348121
25,202306,2호선,사당,2462087
26,202306,2호선,삼성(무역센터),3200508
27,202306,2호선,상왕십리,820180
28,202306,2호선,서울대입구(관악구청),2695481
29,202306,2호선,서초,1232325
30,202306,2호선,선릉,2906035
31,202306,2호선,성수,2314852
32,202306,2호선,시청,1405508
33,202306,2호선,신답,100717
34,202306,2호선,신당,881969
35,202306,2호선,신대방,1479899
36,202306,2호선,신도림,2879691
37,202306,2호선,신림,3251088
38,202306,2호선,신설동,219283
39,202306,2호선,신정네거리,608719
40,202306,2호선,신촌,2267273
41,202306,2호선,아현,617051
42,202306,2호선,양천구청,411198
43,202306,2호선,역삼,2921482
44,202306,2호선,영등포구청,1237434
45,202306,2호선,왕십리(성동구청),870437
46,202306,2호선,용답,169218
47,202306,2호선,용두(동대문구청),140501
48,202306,2호선,을지로3가,1378164
49,202306,2호선,을지로4가,804493
50,202306,2호선,을지로입구,2717751
51,202306,2호선,이대,982434
52,202306,2호선,잠실(송파구청),4420998
53,202306,2호선,잠실나루,849062
54,202306,2호선,잠실새내,1368708
